Total codepoints: 1114112
Divergent codepoints: 85119
Divergent ranges: 2487

By class pair:

  elixir=error:0 js=identifier:1 -> 82934 codepoints
  elixir=error:0 js=error:1 -> 1190 codepoints
  elixir=error:0 js=atom:1 -> 991 codepoints
  elixir=error:1 js=error:0 -> 3 codepoints
  elixir=identifier:1 js=error:0 -> 1 codepoints

Ranges:

1298-1298        | elixir=error:0 | js=atom:1 (Ԓ)
1299-1299        | elixir=error:0 | js=identifier:1 (ԓ)
1300-1300        | elixir=error:0 | js=atom:1 (Ԕ)
1301-1301        | elixir=error:0 | js=identifier:1 (ԕ)
1302-1302        | elixir=error:0 | js=atom:1 (Ԗ)
1303-1303        | elixir=error:0 | js=identifier:1 (ԗ)
1304-1304        | elixir=error:0 | js=atom:1 (Ԙ)
1305-1305        | elixir=error:0 | js=identifier:1 (ԙ)
1306-1306        | elixir=error:0 | js=atom:1 (Ԛ)
1307-1307        | elixir=error:0 | js=identifier:1 (ԛ)
1308-1308        | elixir=error:0 | js=atom:1 (Ԝ)
1309-1309        | elixir=error:0 | js=identifier:1 (ԝ)
1310-1310        | elixir=error:0 | js=atom:1 (Ԟ)
1311-1311        | elixir=error:0 | js=identifier:1 (ԟ)
1312-1312        | elixir=error:0 | js=atom:1 (Ԡ)
1313-1313        | elixir=error:0 | js=identifier:1 (ԡ)
1314-1314        | elixir=error:0 | js=atom:1 (Ԣ)
1315-1315        | elixir=error:0 | js=identifier:1 (ԣ)
1318-1318        | elixir=error:0 | js=atom:1 (Ԧ)
1319-1319        | elixir=error:0 | js=identifier:1 (ԧ)
1320-1320        | elixir=error:0 | js=atom:1 (Ԩ)
1321-1321        | elixir=error:0 | js=identifier:1 (ԩ)
1322-1322        | elixir=error:0 | js=atom:1 (Ԫ)
1323-1323        | elixir=error:0 | js=identifier:1 (ԫ)
1324-1324        | elixir=error:0 | js=atom:1 (Ԭ)
1325-1325        | elixir=error:0 | js=identifier:1 (ԭ)
1326-1326        | elixir=error:0 | js=atom:1 (Ԯ)
1327-1327        | elixir=error:0 | js=identifier:1 (ԯ)
1369-1369        | elixir=error:0 | js=identifier:1 (ՙ)
1376-1376        | elixir=error:0 | js=identifier:1 (ՠ)
1415-1416        | elixir=error:0 | js=identifier:1 (ևֈ)
1425-1469        | elixir=error:0 | js=error:1
1471-1471        | elixir=error:0 | js=error:1 (ֿ)
1473-1474        | elixir=error:0 | js=error:1 (ׁׂ)
1476-1477        | elixir=error:0 | js=error:1 (ׅׄ)
1479-1479        | elixir=error:0 | js=error:1 (ׇ)
1519-1522        | elixir=error:0 | js=identifier:1 (ׯװױײ)
1552-1562        | elixir=error:0 | js=error:1
1595-1596        | elixir=error:0 | js=identifier:1 (ػؼ)
1598-1600        | elixir=error:0 | js=identifier:1 (ؾؿـ)
