# NOTE: Due to Unicode character width variations, the formatting will appear
# broken in text editors. For proper viewing, use: cat mappings_comparison.txt
================================================================================

Total codepoints: 1114112
Inconsistencies found: 2210

Inconsistencies:

Codepoint | Char    | Elixir Result | JavaScript Result
55662     | invalid | -             | 55662
55663     | invalid | -             | 55663
55664     | invalid | -             | 55664
55665     | invalid | -             | 55665
55666     | invalid | -             | 55666
55667     | invalid | -             | 55667
55668     | invalid | -             | 55668
55669     | invalid | -             | 55669
55670     | invalid | -             | 55670
55671     | invalid | -             | 55671
55672     | invalid | -             | 55672
55673     | invalid | -             | 55673
55674     | invalid | -             | 55674
55675     | invalid | -             | 55675
55676     | invalid | -             | 55676
55677     | invalid | -             | 55677
55678     | invalid | -             | 55678
55679     | invalid | -             | 55679
55680     | invalid | -             | 55680
55681     | invalid | -             | 55681
55682     | invalid | -             | 55682
55683     | invalid | -             | 55683
55684     | invalid | -             | 55684
55685     | invalid | -             | 55685
55686     | invalid | -             | 55686
55687     | invalid | -             | 55687
55688     | invalid | -             | 55688
55689     | invalid | -             | 55689
55690     | invalid | -             | 55690
55691     | invalid | -             | 55691
55692     | invalid | -             | 55692
55693     | invalid | -             | 55693
55694     | invalid | -             | 55694
55695     | invalid | -             | 55695
55696     | invalid | -             | 55696
55697     | invalid | -             | 55697
55698     | invalid | -             | 55698
55699     | invalid | -             | 55699
55700     | invalid | -             | 55700
55701     | invalid | -             | 55701
55702     | invalid | -             | 55702
55703     | invalid | -             | 55703
55704     | invalid | -             | 55704
55705     | invalid | -             | 55705
55706     | invalid | -             | 55706
55707     | invalid | -             | 55707
55708     | invalid | -             | 55708
55709     | invalid | -             | 55709
55710     | invalid | -             | 55710
55711     | invalid | -             | 55711
55712     | invalid | -             | 55712
55713     | invalid | -             | 55713
55714     | invalid | -             | 55714
55715     | invalid | -             | 55715
55716     | invalid | -             | 55716
55717     | invalid | -             | 55717
55718     | invalid | -             | 55718
55719     | invalid | -             | 55719
55720     | invalid | -             | 55720
55721     | invalid | -             | 55721
55722     | invalid | -             | 55722
55723     | invalid | -             | 55723
55724     | invalid | -             | 55724
55725     | invalid | -             | 55725
55726     | invalid | -             | 55726
55727     | invalid | -             | 55727
55728     | invalid | -             | 55728
55729     | invalid | -             | 55729
55730     | invalid | -             | 55730
55731     | invalid | -             | 55731
55732     | invalid | -             | 55732
55733     | invalid | -             | 55733
55734     | invalid | -             | 55734
55735     | invalid | -             | 55735
55736     | invalid | -             | 55736
55737     | invalid | -             | 55737
55738     | invalid | -             | 55738
55739     | invalid | -             | 55739
55740     | invalid | -             | 55740
55741     | invalid | -             | 55741
55742     | invalid | -             | 55742
55743     | invalid | -             | 55743
55744     | invalid | -             | 55744
55745     | invalid | -             | 55745
55746     | invalid | -             | 55746
55747     | invalid | -             | 55747
55748     | invalid | -             | 55748
55749     | invalid | -             | 55749
55750     | invalid | -             | 55750
55751     | invalid | -             | 55751
55752     | invalid | -             | 55752
55753     | invalid | -             | 55753
55754     | invalid | -             | 55754
55755     | invalid | -             | 55755
55756     | invalid | -             | 55756
55757     | invalid | -             | 55757
55758     | invalid | -             | 55758
55759     | invalid | -             | 55759
55760     | invalid | -             | 55760
55761     | invalid | -             | 55761
55762     | invalid | -             | 55762
55763     | invalid | -             | 55763
55764     | invalid | -             | 55764
55765     | invalid | -             | 55765
55766     | invalid | -             | 55766
55767     | invalid | -             | 55767
55768     | invalid | -             | 55768
55769     | invalid | -             | 55769
55770     | invalid | -             | 55770
55771     | invalid | -             | 55771
55772     | invalid | -             | 55772
55773     | invalid | -             | 55773
55774     | invalid | -             | 55774
55775     | invalid | -             | 55775
55776     | invalid | -             | 55776
55777     | invalid | -             | 55777
55778     | invalid | -             | 55778
55779     | invalid | -             | 55779
55780     | invalid | -             | 55780
55781     | invalid | -             | 55781
55782     | invalid | -             | 55782
55783     | invalid | -             | 55783
55784     | invalid | -             | 55784
55785     | invalid | -             | 55785
55786     | invalid | -             | 55786
55787     | invalid | -             | 55787
55788     | invalid | -             | 55788
55789     | invalid | -             | 55789
55790     | invalid | -             | 55790
55791     | invalid | -             | 55791
55792     | invalid | -             | 55792
55793     | invalid | -             | 55793
55794     | invalid | -             | 55794
55795     | invalid | -             | 55795
55796     | invalid | -             | 55796
55797     | invalid | -             | 55797
55798     | invalid | -             | 55798
55799     | invalid | -             | 55799
55800     | invalid | -             | 55800
55801     | invalid | -             | 55801
55802     | invalid | -             | 55802
55803     | invalid | -             | 55803
55804     | invalid | -             | 55804
55805     | invalid | -             | 55805
55806     | invalid | -             | 55806
55807     | invalid | -             | 55807
55808     | invalid | -             | 55808
55809     | invalid | -             | 55809
55810     | invalid | -             | 55810
55811     | invalid | -             | 55811
55812     | invalid | -             | 55812
55813     | invalid | -             | 55813
55814     | invalid | -             | 55814
55815     | invalid | -             | 55815
55816     | invalid | -             | 55816
55817     | invalid | -             | 55817
55818     | invalid | -             | 55818
55819     | invalid | -             | 55819
55820     | invalid | -             | 55820
55821     | invalid | -             | 55821
55822     | invalid | -             | 55822
55823     | invalid | -             | 55823
55824     | invalid | -             | 55824
55825     | invalid | -             | 55825
55826     | invalid | -             | 55826
55827     | invalid | -             | 55827
55828     | invalid | -             | 55828
55829     | invalid | -             | 55829
55830     | invalid | -             | 55830
55831     | invalid | -             | 55831
55832     | invalid | -             | 55832
55833     | invalid | -             | 55833
55834     | invalid | -             | 55834
55835     | invalid | -             | 55835
55836     | invalid | -             | 55836
55837     | invalid | -             | 55837
55838     | invalid | -             | 55838
55839     | invalid | -             | 55839
55840     | invalid | -             | 55840
55841     | invalid | -             | 55841
55842     | invalid | -             | 55842
55843     | invalid | -             | 55843
55844     | invalid | -             | 55844
55845     | invalid | -             | 55845
55846     | invalid | -             | 55846
55847     | invalid | -             | 55847
55848     | invalid | -             | 55848
55849     | invalid | -             | 55849
55850     | invalid | -             | 55850
55851     | invalid | -             | 55851
55852     | invalid | -             | 55852
55853     | invalid | -             | 55853
55854     | invalid | -             | 55854
55855     | invalid | -             | 55855
55856     | invalid | -             | 55856
55857     | invalid | -             | 55857
55858     | invalid | -             | 55858
55859     | invalid | -             | 55859
55860     | invalid | -             | 55860
55861     | invalid | -             | 55861
55862     | invalid | -             | 55862
55863     | invalid | -             | 55863
55864     | invalid | -             | 55864
55865     | invalid | -             | 55865
55866     | invalid | -             | 55866
55867     | invalid | -             | 55867
55868     | invalid | -             | 55868
55869     | invalid | -             | 55869
55870     | invalid | -             | 55870
55871     | invalid | -             | 55871
55872     | invalid | -             | 55872
55873     | invalid | -             | 55873
55874     | invalid | -             | 55874
55875     | invalid | -             | 55875
55876     | invalid | -             | 55876
55877     | invalid | -             | 55877
55878     | invalid | -             | 55878
55879     | invalid | -             | 55879
55880     | invalid | -             | 55880
55881     | invalid | -             | 55881
55882     | invalid | -             | 55882
55883     | invalid | -             | 55883
55884     | invalid | -             | 55884
55885     | invalid | -             | 55885
55886     | invalid | -             | 55886
55887     | invalid | -             | 55887
55888     | invalid | -             | 55888
55889     | invalid | -             | 55889
55890     | invalid | -             | 55890
55891     | invalid | -             | 55891
55892     | invalid | -             | 55892
55893     | invalid | -             | 55893
55894     | invalid | -             | 55894
55895     | invalid | -             | 55895
55896     | invalid | -             | 55896
55897     | invalid | -             | 55897
55898     | invalid | -             | 55898
55899     | invalid | -             | 55899
55900     | invalid | -             | 55900
55901     | invalid | -             | 55901
55902     | invalid | -             | 55902
55903     | invalid | -             | 55903
55904     | invalid | -             | 55904
55905     | invalid | -             | 55905
55906     | invalid | -             | 55906
55907     | invalid | -             | 55907
55908     | invalid | -             | 55908
55909     | invalid | -             | 55909
55910     | invalid | -             | 55910
55911     | invalid | -             | 55911
55912     | invalid | -             | 55912
55913     | invalid | -             | 55913
55914     | invalid | -             | 55914
55915     | invalid | -             | 55915
55916     | invalid | -             | 55916
55917     | invalid | -             | 55917
55918     | invalid | -             | 55918
55919     | invalid | -             | 55919
55920     | invalid | -             | 55920
55921     | invalid | -             | 55921
55922     | invalid | -             | 55922
55923     | invalid | -             | 55923
55924     | invalid | -             | 55924
55925     | invalid | -             | 55925
55926     | invalid | -             | 55926
55927     | invalid | -             | 55927
55928     | invalid | -             | 55928
55929     | invalid | -             | 55929
55930     | invalid | -             | 55930
55931     | invalid | -             | 55931
55932     | invalid | -             | 55932
